title,location,region,stars,amenities,start price,end price,total normalised rating,total rating,total count,total very positive rating count,total positive rating count,total negative rating count,total very negative rating count,total very positive reviews,total positive reviews,total negative reviews,total very negative reviews,location rating,location count,location very positive rating count,location positive rating count,location negative rating count,location very negative rating count,location very positive reviews,location positive reviews,location negative reviews,location very negative reviews,room rating,room count,room very positive rating count,room positive rating count,room negative rating count,room very negative rating count,room very positive reviews,room positive reviews,room negative reviews,room very negative reviews,food rating,food count,food very positive rating count,food positive rating count,food negative rating count,food very negative rating count,food very positive reviews,food positive reviews,food negative reviews,food very negative reviews,service rating,service count,service very positive rating count,service positive rating count,service negative rating count,service very negative rating count,service very positive reviews,service positive reviews,service negative reviews,service very negative reviews,cleanliness rating,cleanliness count,cleanliness very positive rating count,cleanliness positive rating count,cleanliness negative rating count,cleanliness very negative rating count,cleanliness very positive reviews,cleanliness positive reviews,cleanliness negative reviews,cleanliness very negative reviews,count,error percentage
Hotel Airport Annex,"Twin Arcade, Military Road, 400059, India", Military Road,NA,,2468,4010,3.34585,5.32326,10,0,4,6,0,[],"['recieved the pickup details the previous day itself', 'i traveled to mumbai along with a colleague on a business trip for a week', 'highlights of the stay', 'parking space is available in the hotel']","['stayed there during a stopover till the connecting flight in the evening', 'mins from the domestic airport and mins from the international terminal', 'pickup was there on time', 'needs polishing', 'and unfortunately we ended up staying here had paid before', 'the hotel is of five floors , with rooms in']",[],NA,0,0,0,0,0,[],[],[],[],5.514075,2,0,1,1,0,[],"['the hotel is of five floors , with rooms in']",['parking space is available in the hotel'],[],NA,0,0,0,0,0,[],[],[],[],NA,0,0,0,0,0,[],[],[],[],NA,0,0,0,0,0,[],[],[],[],19,29
Pearl Residency,"14, Usha Kunj , Opp. Takshila Apt ,, 400093, India",NA,2,Free Parking,1419,2036,3.407622727,4.491048913,23,0,5,13,5,[],"['and the manager doesnt how to speak with the customer', 'hello ,', 'regards ,', 'i had confirmed about the pickup two days prior as well', 'first i was taken to']","['they doesnt even deserve one star also', 'do not even think of staying here', 'i had a three sleep less night', 'i was given a pickup from the airport', 'com when i check in at p', 'i was given a pickup from andheri station', 'dont get deceived by the pickup car it was toyota corolla , to think something better is waiting', 'it is next to a temple so forget abt sleeping from am in the morning', 'unless u want to get sick', 'staff at the hotel was friendly very quick to reply', 'there was no delay in checkin and checkout', 'it was valuable for my money', 'i went with my wife in the month of january']","['most horrible experience in my life', 'horrible experience', 'this was a horrible experience i can share with all so that others dont fall into trap of cleartrip', 'this was a horrible experience i can share with all so that others dont fall into trap', 'worst experience non']",NA,0,0,0,0,0,[],[],[],[],NA,0,0,0,0,0,[],[],[],[],NA,0,0,0,0,0,[],[],[],[],5.58505,1,0,1,0,0,[],['staff at the hotel was friendly very quick to reply'],[],[],NA,0,0,0,0,0,[],[],[],[],52,27
iHOTEL,"90 Feet Road, Near Saki Naka Junction, Andheri East, 400072, India", Andheri East,2,"Room Service, Free Parking, Free Breakfast, Free High Speed Internet ( WiFi )",1357,2098,3.451416667,3.865683333,3,0,0,2,1,[],[],"['but apparently they changed the name at some point', 'actually it turned out the ihotel was full and we were put in the new adore inn , close by']","['the dusbin was full , toilet wasnt even flashed , the hand basin very dirty and the floor should have been mopped atleast']",NA,0,0,0,0,0,[],[],[],[],4.5868375,2,0,1,1,0,[],"['actually it turned out the ihotel was full and we were put in the new adore inn , close by']","['the dusbin was full , toilet wasnt even flashed , the hand basin very dirty and the floor should have been mopped atleast']",[],NA,0,0,0,0,0,[],[],[],[],NA,0,0,0,0,0,[],[],[],[],5.18815,1,0,0,1,0,[],[],"['the dusbin was full , toilet wasnt even flashed , the hand basin very dirty and the floor should have been mopped atleast']",[],15,188
Orange Inn Hotel,"Sai Baba Estate, Near SBI Bank, Andheri East, Makhwana Road, 400059, India", Makhwana Road,2.5,"Room Service, Free Parking, Restaurant, Free High Speed Internet ( WiFi )",1481,2221,3.781988462,4.575845,25,0,5,20,0,[],"['in the end we had to pay more than we agreed', 'deepika matha', 'room service guys are quick responding', ', available there', 'appearance is average']","['we went out for the day and someone had', 'now', 'dont start expecting too much', 'what else you need when you travel to mumbai spending more hours in business meetings , this is a deal', 'was not able to figure our why they kept their front shutter always closed and sign board light also switched off', 'dont book through make my trip outlet at domestic airport', 'it was a disaster', 'the location of the hotel itself is quite shady', 'the staff , the people , the area everything is bad', 'i would', 'located a bit off the road , is difficult to find', ', however , getting transport early in the morning is very difficult', 'day stay , small , undesirable surroundings , no hot water but cheap', 'there was tv , geyser , etc', 'hotel services were average', 'wifi connection was not provided', 'hotel location is average', 'the overall experience was average , mixture of best and worst experience', 'thats bad', 'the basic requirement of stay , food was available just a call away and the staff was helpful']",[],5.678083333,3,0,3,0,0,[],"['the location of the hotel itself is quite shady', 'the staff , the people , the area everything is bad', 'hotel location is average']",[],[],5.4837,1,0,0,1,0,[],[],['room service guys are quick responding'],[],3.7468,1,0,0,1,0,[],[],"['the basic requirement of stay , food was available just a call away and the staff was helpful']",[],5.43633125,4,0,2,2,0,[],"['room service guys are quick responding', 'the staff , the people , the area everything is bad']","['hotel services were average', 'the basic requirement of stay , food was available just a call away and the staff was helpful']",[],NA,0,0,0,0,0,[],[],[],[],68,29
Skyway Inn,"Premises no 21-22 Bernarld Market Link Road, Mohili Village Sakinaka, Andheri East, Andheri / International Airport, 400072, India", Andheri / International Airport,2.5,"Budget, Free Parking, Room Service, Free Parking, Free High Speed Internet ( WiFi )",987,2591,4.106134615,4.711901563,16,1,3,10,2,['food was good and inside hotel its really good as its a newly build one'],"['and of course the stafs were so helping', 'stayed here for two days', 'all are fine , near airport']","['most of the drivers doesnt know it', 'the standard room its a hole with no clean sheet and really claustrophobic', 'although , never again', 'no towel or tv bare wired hanging out of the', 'never trust what they show on the internet', 'ill not say any thing about cab charges as i did agreed earlier on this', 'ill say will not hesitate to recommend to others who is in', 'here are some positives and negatives', 'the bed and towels were clean', 'well the hotel is near to the bus point for pune , reachable from airport but u need to ask the hotel to receive u as the hotel is not vissible for road']","['this was one of the worst experience ive got , and ive been travel awhile', 'the hotel is located in between slums , and no easy to reach']",NA,0,0,0,0,0,[],[],[],[],4.42326875,4,0,0,3,1,[],[],"['the standard room its a hole with no clean sheet and really claustrophobic', 'the bed and towels were clean', 'well the hotel is near to the bus point for pune , reachable from airport but u need to ask the hotel to receive u as the hotel is not vissible for road']","['the hotel is located in between slums , and no easy to reach']",5.5,1,0,1,0,0,[],['food was good and inside hotel its really good as its a newly build one'],[],[],NA,0,0,0,0,0,[],[],[],[],4.2922625,2,0,1,0,1,[],['the bed and towels were clean'],[],['the standard room its a hole with no clean sheet and really claustrophobic'],46,18
Ashwin,"Marol-Maroshi Road, near International & Domestic Airport, behind Marol Fire Brigade, Marol Naka, Andheri (East), 400059, India", Andheri (East),NA,"Restaurant, Free Parking, Free High Speed Internet ( WiFi )",2776,5244,4.3134625,4.9319,28,0,9,18,1,[],"['lots of traffic noise', 'perfect stay', 'you can bargain on rates a little', 'free wifi', 'one special thing', 'you will find him only in nights but huge crowd around him makes you feel like he is selling in free', 'different ice', 'good enough to stay for one night to catch the next day flight', 'it was our first out of the city family trip , although i have been out with my friends']","['plaster coming off the walls and poor overall decor', 'staff unlock and enter room without even knocking', 'there was no mini fridge', 'tv', 'the rooms are horrendously overpriced and disgustingly unclean', 'the sheets are stained with blood and large transparent blotches , i can only imagine what that is', 'when we asked them to change the sheets , the response was abhi toh change kiya tha i just changed it', 'he changed', 'the waiters are always looking a for a big tip , if they dont get what they want theyll be rude and give you stares', 'not helpful at all', 'price for the hotel is too much for what your getting and the general customer service is not there', 'avoid', 'went there for just hours break as waiting time between the flights was about hours so i searched it through internet rang them and enquire', 'but when we went there the person i have spoke', 'hotel ashwin is an old property which has been reasonably maintained', 'breakfast and airport drop was included in the room price', 'one kulfi wala near marol naka', 'advice dont judge by the surroundings']",['heres a brief summary of our terrible experience at the ashwin'],5.04685,1,0,0,1,0,[],[],['hotel ashwin is an old property which has been reasonably maintained'],[],5.302633333,3,0,1,2,0,[],['the rooms are horrendously overpriced and disgustingly unclean'],"['staff unlock and enter room without even knocking', 'breakfast and airport drop was included in the room price']",[],5.664575,1,0,1,0,0,[],['breakfast and airport drop was included in the room price'],[],[],4.50815,2,0,1,1,0,[],['staff unlock and enter room without even knocking'],['price for the hotel is too much for what your getting and the general customer service is not there'],[],4.295475,1,0,0,1,0,[],[],['the rooms are horrendously overpriced and disgustingly unclean'],[],60,74
Marol Residency,"Opp Seven Hills Hospital near Marol Maroshi Bus Stop, Andheri, 400059, India", Andheri,2.5,"Room Service, Free Parking, Free High Speed Internet ( WiFi )",1234,1604,4.665567857,5.038583333,15,0,5,8,2,[],"['positives', 'refer and compare online costs and go', 'good for day stay', 'i am very happy', 'i stayed for one day and changed from the next']","['the awful appearance from outside is such that my first thought', 'recheck before you book', 'incidently i was living just stone throw away distance from it , and', 'it is not looking good from outside , but it is the right choice for every one looking for a cheap and perfect staying in bombay', 'bargain easily reduce rs', 'negatives', 'the location of the hotel was worst', 'i stay at marol residency in mumbai , near maratha mandir central mumbai']","['it was such a waste of time and money', 'all sounds bad for staying']",5.526325,1,0,1,0,0,[],['the location of the hotel was worst'],[],[],NA,0,0,0,0,0,[],[],[],[],NA,0,0,0,0,0,[],[],[],[],NA,0,0,0,0,0,[],[],[],[],NA,0,0,0,0,0,[],[],[],[],38,55
Hotel Satellite,"213/214, Dixit Road Near Shiv Sagar Restaurant,, Vile Parle, 400057, India", Vile Parle,2.5,"Room Service, Restaurant, Free High Speed Internet ( WiFi )",2098,2961,4.7149,5.016466667,18,0,4,14,0,[],"['pm', 'the staff will be all pleasant and helpful to check you in , but as soon as you ask for a room change , you get to see their real side', 'staff at the hotel was helpful and friendly', 'very convenient from domestic airport']","['not so friendly but not otherwise even', 'as they sayitne mein itna hi milega', 'at', 'dirty sinks and toilets', 'yes', 'gutter stinky and they spray some kind of pesticide to', 'location was suitable but food quality was below par', 'the hotel is situated within kms from airport at comfortable location close to vile parle station east', 'the location of the hotel was convenient for me', 'the hotel was in a residential area which was very calm', 'there was no problem in checkin and checkout procedure', 'the interior and exterior of the hotel were decent according to the amount we paid', 'tv was working but the geyser was not working', 'check in check out was good']",[],4.966975,4,0,2,2,0,[],"['location was suitable but food quality was below par', 'the location of the hotel was convenient for me']","['the hotel is situated within kms from airport at comfortable location close to vile parle station east', 'the hotel was in a residential area which was very calm']",[],6.170233333,3,0,3,0,0,[],"['dirty sinks and toilets', 'the staff will be all pleasant and helpful to check you in , but as soon as you ask for a room change , you get to see their real side', 'the interior and exterior of the hotel were decent according to the amount we paid']",[],[],4.25395,1,0,0,1,0,[],[],['location was suitable but food quality was below par'],[],5.5765625,2,0,2,0,0,[],"['the staff will be all pleasant and helpful to check you in , but as soon as you ask for a room change , you get to see their real side', 'staff at the hotel was helpful and friendly']",[],[],4.49245,1,0,0,1,0,[],[],['dirty sinks and toilets'],[],47,63
Hotel Arma Executive,"Rani Arcade, Shamsudeen Nagar, Sakinaka, 400072, India", Sakinaka,1.5,"Room Service, Free Parking, Free High Speed Internet ( WiFi )",1851,3146,4.72275,5.161534722,18,1,5,12,0,['for couple stay i wont recommend it'],"['room service is available', 'the road to and from this', 'overall got value of money', 'located inside the slums of mumbai', 'dont expect good quality']","['the area were hotel is located is not sober , very boring slum like area', 'reception team lacks proffessionalism', 'negatives', 'no personal problem with muslim brothers', 'room service is average', 'i have been living in india for the last months so i have a general idea of what to expect when it comes to hygiene etc', 'firstly my free airport pick up delayed for min', 'i arrived', 'located inside the slums of mumbai just mtrs away the airport runway', 'so if you like to see and hear the flights day nd night do drop in', 'i didnt have a good sleep', 'its only for singles because crowd was not good']",[],5.538825,1,0,1,0,0,[],"['the area were hotel is located is not sober , very boring slum like area']",[],[],4.764108333,3,0,0,3,0,[],[],"['reception team lacks proffessionalism', 'room service is available', 'room service is average']",[],NA,0,0,0,0,0,[],[],[],[],5.711983333,3,0,3,0,0,[],"['reception team lacks proffessionalism', 'room service is available', 'room service is average']",[],[],NA,0,0,0,0,0,[],[],[],[],59,1
Hotel Cosmo,"Seepz Pocket Cross Road, Near Vijay Nagar Flyover Bridge, Marol Maroshi, Andheri East, 400059, India", Andheri East,2.5,"Room Service, Free Parking, Restaurant, Free High Speed Internet ( WiFi )",1172,3640,4.756035417,5.06341,20,0,9,10,1,[],"['very small', 'free wifi', 'room is very clean', 'i feel star fecilities', 'next to slum', 'please dont fall for it', 'let alone take my family', 'in short i will never recommend this to any one', 'but rest all is good']","['seriously consider staying anywhere but here', 'in andheri , close to the airport and companies around you shouldnt except too much for per day', 'distence from international airport is km and domestic from km only', 'hot n cold water', 'valuble money', 'what annoyed is most however is that we asked to keep our luggage at the', 'the location of this hotel is in slum which makes anyone feel bad', 'm', 'but the first and the wisest thing i did was leave at first daylight', 'best experience nothing worst experience please check overall experience']",['worst experience location of this hotel is a bit shady'],4.2381375,2,0,1,0,1,[],['the location of this hotel is in slum which makes anyone feel bad'],[],['worst experience location of this hotel is a bit shady'],5.4837,1,0,0,1,0,[],[],['room is very clean'],[],NA,0,0,0,0,0,[],[],[],[],NA,0,0,0,0,0,[],[],[],[],7.697225,1,0,1,0,0,[],['room is very clean'],[],[],82,4
